,ArtistName,YearBorn,YearDied,Age,Born,Died,ArtistOccupation,ArtistWikiLink,Nationality,Education,Known for,Spouse(s),Notable work,Awards,Movement,Native name,Resting place,Pen name,Occupation,Language,Period,Literary movement,Notable works,Notable awards,Spouse,Children,Relatives,Signature,Other names,Alma mater,Website,Parent(s),Style,Honours,Partner(s),Years active,Constituency,Political party,Citizenship,Organization,Patron(s),Genre,Age_Cleaned,Is_Dead,Is_Indian,Award_Group,Occupation_Grouped
0,Amrita Sher-Gil,1913,1941,28,"(1913-01-30)30 January 1913Budapest, Kingdom of Hungary","5 December 1941(1941-12-05) (aged 28)Lahore, Punjab, British India",,https://en.wikipedia.org/wiki/Amrita_Sher-Gil,Hungarian  British Indian,Grande ChaumiereÉcole des Beaux-Arts (1930–34),Painting,Viktor Egan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Dead,Other/Mixed,Other,Painting
1,Jamini Roy,1887,1972,85,"(1887-04-14)14 April 1887Beliatore, Bankura district, Bengal Presidency, British Raj]",24 April 1972(1972-04-24) (aged 85),,https://en.wikipedia.org/wiki/Jamini_Roy,Indian,,Painting,,painter,Padma Bhushan (1955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Dead,India,Padma Recipient,Painting
2,Kalipada Ghoshal,1906,1995,89,"(1906-09-00)September 1906Howrah, Bengal Presidency, British India (present-day West Bengal, India)","29 April 1995(1995-04-29) (aged 88)Howrah, West Bengal, India",,https://en.wikipedia.org/wiki/Kalipada_Ghoshal,Indian,,Painting,,,,Modern Indian Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Dead,India,Other,Painting
3,Maniam,1924,1968,44,,,,https://en.wikipedia.org/wiki/Maniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Dead,Other/Mixed,Other,0
4,Manishi Dey,1909,1966,57,"Bijoy Chandra Dey(1909-09-22)22 September 1909Dhaka, British India","(1966-01-31)31 January 1966Kolkata, India",,https://en.wikipedia.org/wiki/Manishi_Dey,Indian,,"Painting, Drawing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Dead,India,Other,"Painting, Drawing"
5,Mukul Chandra Dey,1895,1989,94,"Mukul Chandra Dey(1895-07-23)23 July 1895Sridharkhola, Bengal Presidency, British India","1 March 1989(1989-03-01) (aged 93)Santiniketan, West Bengal, India",,https://en.wikipedia.org/wiki/Mukul_Chandra_Dey,Indian,,Etching,"Bina, née Roy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,Dead,India,Other,Etching
6,Nandalal Bose,1882,1966,84,"(1882-12-03)3 December 1882Haveli Kharagpur, Bengal Presidency, British India(now in Bihar, India)[1]","16 April 1966(1966-04-16) (aged 83)Calcutta, West Bengal, India",,https://en.wikipedia.org/wiki/Nandalal_Bose,Indian,"Calcutta University , Government College of Art and Craft",Painting,,,Padma Vibhushan (1954),Contextual Modernism,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,Dead,India,Padma Recipient,Painting
7,Rabindranath Tagore,1861,1941,80,"Rabindranath Thakur(1861-05-07)7 May 1861, 25th of Baishakh, 1268 (Bengali calendar)Calcutta, Bengal Presidency, British India (now Kolkata, West Bengal, India)","7 August 1941(1941-08-07) (aged 80)Calcutta, Bengal Presidency, British India (now Kolkata, West Bengal, India)",,https://en.wikipedia.org/wiki/Rabindranath_Tagore,,,,,,,,রবীন্দ্রনাথ ঠাকুর,Ashes scattered in the Ganges,Bhanusingha (ভানুসিংহ),Poetnovelistdramatistessayiststory-writercomposerpainterphilosophersocial reformereducationistlinguistgrammarian,Bengali,Bengali Renaissance,Contextual Modernism,GitanjaliGhare-BaireGoraJana Gana ManaRabindra SangeetAmar Shonar Bangla(other works),Nobel Prize in Literature  1913                  ,"Mrinalini Devi
​ ​(m. 1883; wid. 1902)​","5, including Rathindranath Tagore",Tagore family,,,,,,,,,,,,,,,,80,Dead,Other/Mixed,Other,Poetnovelistdramatistessayiststory-writercomposerpainterphilosophersocial reformereducationistlinguistgrammarian
8,Raja Ravi Varma,1848,1906,58,"(1848-04-29)29 April 1848[1][2]Kilimanoor, Travancore","2 October 1906(1906-10-02) (aged 58)Attingal, Travancore",,https://en.wikipedia.org/wiki/Raja_Ravi_Varma,,,,Bharani Thirunal Rani Laksmibai,ShakuntalaNair Lady Adorning Her HairThere Comes PapaGalaxy of Musicians,Kaisar-i-Hind Gold Medal,,,,,"painter, artist",,,,,,,,,,"Koili Thampuran of Kilimanoor, Ravi Varma Koil Thampuran",University College Thiruvananthapuram,,,,,,,,,,,,,58,Dead,Other/Mixed,Other,"painter, artist"
9,S. G. Thakur Singh,1899,1976,77,1899 (1899),1976 (1977) (aged 77),,https://en.wikipedia.org/wiki/S._G._Thakur_Singh,,,,,,,,,,,Indian artist,,,,,,,,,,,,,,,,,,,,,,,,77,Dead,Other/Mixed,Other,Indian artist
