ArtistName,ArtistWikiPage,ArtistOccupation,YearBorn,YearDied
Amrita Sher-Gil,https://en.wikipedia.org/wiki/Amrita_Sher-Gil,,1913,1941
Jamini Roy,https://en.wikipedia.org/wiki/Jamini_Roy,,1887,1972
Kalipada Ghoshal,https://en.wikipedia.org/wiki/Kalipada_Ghoshal,,1906,1995
Maniam,https://en.wikipedia.org/wiki/Maniam,,1924,1968
Manishi Dey,https://en.wikipedia.org/wiki/Manishi_Dey,,1909,1966
Mukul Chandra Dey,https://en.wikipedia.org/wiki/Mukul_Chandra_Dey,,1895,1989
Nandalal Bose,https://en.wikipedia.org/wiki/Nandalal_Bose,,1882,1966
Rabindranath Tagore,https://en.wikipedia.org/wiki/Rabindranath_Tagore,,1861,1941
Raja Ravi Varma,https://en.wikipedia.org/wiki/Raja_Ravi_Varma,,1848,1906
S. G. Thakur Singh,https://en.wikipedia.org/wiki/S._G._Thakur_Singh,,1899,1976
Silpi,https://en.wikipedia.org/wiki/Silpi,,1919,1983
Benode Behari Mukherjee,https://en.wikipedia.org/wiki/Benode_Behari_Mukherjee,,1904,1980
Gaganendranath Tagore,https://en.wikipedia.org/wiki/Gaganendranath_Tagore,,1867,1938
Sunil Das,https://en.wikipedia.org/wiki/Sunil_Das,,1939,2015
Anish Kapoor,https://en.wikipedia.org/wiki/Anish_Kapoor,, 1954,
Abdul Kadar Khatri,https://en.wikipedia.org/wiki/Abdul_Kadar_Khatri,Indian Master Craftsman,1961 , 2019
Aditya Pande,https://en.wikipedia.org/wiki/Aditya_Pande," painter, sculptor, digital artist", 1976,
Aman Singh Gulati,https://en.wikipedia.org/wiki/Aman_Singh_Gulati,World's First Almond Artist, 2000,
Anil Kumar Dutta,https://en.wikipedia.org/wiki/Anil_Kumar_Dutta,,1933,2006
Anjolie Ela Menon,https://en.wikipedia.org/wiki/Anjolie_Ela_Menon, painter, 1940,
Atul Dodiya,https://en.wikipedia.org/wiki/Atul_Dodiya, painter, 1959,
B. Prabha,https://en.wikipedia.org/wiki/B._Prabha, painter,1933,2001
Badri Narayan,https://en.wikipedia.org/wiki/Badri_Narayan, painter,1929,2013
Baiju Parthan,https://en.wikipedia.org/wiki/Baiju_Parthan, painter, 1956,
Balan Nambiar,https://en.wikipedia.org/wiki/Balan_Nambiar," sculptor, painter and research scholar", 1937,
Bapu (director),https://en.wikipedia.org/wiki/Bapu_(director), painter,1933,2014
Bharti Kher,https://en.wikipedia.org/wiki/Bharti_Kher," painter, sculptor and installation artist", 1969,
Bhavna Mehta,https://en.wikipedia.org/wiki/Bhavna_Mehta, paper-cut artist, 1968,
Bholekar Srihari,https://en.wikipedia.org/wiki/Bholekar_Srihari," painter, sculptor and printmaker",1941,2018
Bhupen Khakkar,https://en.wikipedia.org/wiki/Bhupen_Khakkar, painter,1934,2003
Bhuri Bai,https://en.wikipedia.org/wiki/Bhuri_Bai, Bhil artist,1968,
Bijan Choudhury,https://en.wikipedia.org/wiki/Bijan_Choudhury, painter,1931,2012
Bikash Bhattacharjee,https://en.wikipedia.org/wiki/Bikash_Bhattacharjee,,1940,2006
Daku (artist),https://en.wikipedia.org/wiki/Daku_(artist),,,
Devajyoti Ray,https://en.wikipedia.org/wiki/Devajyoti_Ray,, 1974,
